Li4NbIn3(PO4)6 mp-781789
Li4CrP2O9 mp-849954
Na6Ti2O7 mp-850957
CaFe2F10 mvc-10920
Ca3Mn2(FeO5)2 mvc-13130
Ba2CaCr2F14 mvc-14958
Ca3Ga2(FeO5)2 mvc-15035
Ca(CoO2)2 mvc-6535
Mo(WO4)2 mvc-654
YBi(WO4)2 mvc-679
LaVFeO6 mvc-8989
LaMgFeCoO6 mvc-9008
LaFeSbO6 mvc-9014
LaZnCrSbO6 mvc-9875
LaMgTaCrO6 mvc-9892
LaZnCrBiO6 mvc-9918
MgMn2O4 mp-1003641
CsZn4(BO3)3 mp-1019723
La2B8O15 mp-1019892
MgSiO3 mp-1020123
MgSiO3 mp-1020361
CeSe2 mp-1080854
LiV2(PO4)3 mp-1101601
Li3Ti2(PO4)3 mp-1177523
Zn4P2O13 mp-1178724
ScBr3O7 mp-1179540
Na2B4O11 mp-1181167
Np2SO10 mp-1181242
BaPdO5 mp-1182093
CsHf2Br9 mp-1190089
LiLu(WO4)2 mp-1190882
CsY(MoO4)2 mp-1191022
LiY(WO4)2 mp-1191085
LiHo(WO4)2 mp-1191729
Ca(BO5)2 mp-1192983
YC4NO9 mp-1194323
Ca2Co2O5 mp-1195412
MgSiO3 mp-1196002
Rb3V(SO5)2 mp-1196029
LiScH2Se2O7 mp-1196171
InC4Br7N4 mp-1196807
Ba6Y2Co4O15 mp-1196872
Ce2Te7Br2O17 mp-1196951
CsLi2Gd4(BO3)5 mp-1197930
Ba6Y2Fe4O15 mp-1198058
NbC4N3O13 mp-1200027
KAl3Si3(HO6)2 mp-1200795
Na4SrSi8O23 mp-1201366
BaU2(AsO11)2 mp-1202924
Ce2Te7Cl2O17 mp-1203316
CaMgB6O17 mp-1204390
Al2Cr4O19 mp-1205208
UMo4PbO16 mp-1208141
TaMnO4 mp-1208589
Rb5In(MoO4)4 mp-1209387
Pr7(S2Cl3)3 mp-1209710
Rb3La3(BO3)4 mp-1209773
PHPbO4 mp-1209774
LiBi(WO4)2 mp-1211195
PrH10N(ClO4)2 mp-1212120
LiEu(WO4)2 mp-1212166
LiEu(MoO4)2 mp-1212253
CsHo(MoO4)2 mp-1213347
CsYC4O9 mp-1213356
Ba6Tm2Al4O15 mp-1214515
Ba6Y2Al4O15 mp-1214519
Ba6Lu2Al4O15 mp-1214530
Ba6Tb2Ga4O15 mp-1214551
Ba6Lu2Ga4O15 mp-1214574
AlInBr4 mp-1214853
BaBi12Mo5O34 mp-1215003
RbUAsO9 mp-1219976
Ca(BO5)2 mp-1237269
Mg8(MnN3)3 mp-1245338
Na3CaSc3Zn(SiO3)8 mp-1248585
LiVO2 mp-1276026
Li2Fe3SnO8 mp-1282869
TmTaO4 mp-12933
Li2V3CoO8 mp-1305317
Li2V3SbO8 mp-1316064
Li4Mn3SbO8 mp-1319461
MnAl(WO4)2 mp-1579542
Er2WO6 mp-17201
TmCu(WO4)2 mp-17475
LiGa(WO4)2 mp-17510
Yb2WO6 mp-17646
MgWO4 mp-18875
NiMoO4 mp-19019
CdWO4 mp-19387
NiWO4 mp-21179
Li3Cr2(PO4)3 mp-25837
Li3Cu2P5O16 mp-25871
Li3Mn2P5O16 mp-26187
Li3Co2P5O16 mp-26203
NbTeBr3 mp-28038
K3AuSe13 mp-28606
Mo9O25 mp-28777
Hg2Mo5O16 mp-29148
Hg4P2O7 mp-29710
Ca5(CuO2)6 mp-29917
Ba(AlCl4)2 mp-30023
Y2Au5F21 mp-30309
MoCl4 mp-32625
AgTe4Au mp-3291
NbO2F mp-39025
Li3Fe2(PO4)3 mp-504385
Be2TlF5 mp-504450
KZrP2HO8 mp-541071
SiO2 mp-545488
GePbO3 mp-553898
ScNbO4 mp-553961
K4NpS2ClO10 mp-553977
LiAuF4 mp-554442
CaB2(H6O5)2 mp-554736
PrSbO4 mp-554878
LiPO3 mp-557189
BaBi12Mo4WO34 mp-557475
Li3TaO4 mp-558294
Rb4NpS2ClO10 mp-558745
ScTaO4 mp-558781
SbSe6IF6 mp-559000
Bi24Cl10O31 mp-560085
SiO2 mp-560155
AsS4N5F6 mp-560180
NbSeCl3 mp-570270
K2Ag2SnSe4 mp-570887
RbBa2N15 mp-605646
MgWO4 mp-608385
MgWO4 mp-609151
Fe5C2 mp-645339
W25O73 mp-649605
SrLaMnFeO6 mp-684865
NaCaScZn(SiO3)4 mp-684991
SrLaTiMnO6 mp-691117
H8C2S3(NO3)2 mp-707928
Na3CaSc3Zn(SiO3)8 mp-720987
SrCo2H2(SeO3)4 mp-735600
VH24C4N4Cl7 mp-736386
NaCa3AlFe3(SiO3)8 mp-743726
Sb3O4F mp-753510
LiVF4 mp-754337
Hf2N2O mp-754361
Li7Ti2P7O24 mp-757327
Nb2OF8 mp-758829
Sb2OF8 mp-758899
Cs2H6CO6 mp-758948
Li3V(OF)2 mp-759168
Al2O3 mp-759943
Bi3O2F5 mp-759985
Dy2WO6 mp-770559
RbLi2Cr2(BO3)3 mp-770630
RbLi2Fe2(BO3)3 mp-770709
RbLi2Ni2(BO3)3 mp-770719
Li6Cr2O7 mp-770871
Sm2WO6 mp-771966
BaLa2Br8 mp-771981
Li7Cr2P7O24 mp-772556
LiFe2F7 mp-777151
Li3FeOF3 mp-777299
Na6Ti2O7 mp-778364
LiMnP3HO10 mp-780391
CaMgB6H12O17 mp-781555
BaCaGaF7 mp-8416
V2O5 mp-849565
FeS2 mp-850009
MnOF mp-850199
RbZnH2Se2ClO6 mp-867129
Li7Ni2P7O24 mp-867543
TaInO4 mp-8979
KSbSe2 mp-9576
NbInO4 mp-9595
ZnBi4O9 mvc-10485
ZnCo4O9 mvc-10548
MgMn2O4 mvc-12562
YCu3(WO4)6 mvc-13588
Bi2O5 mvc-4554
ZnNi2O5 mvc-5086
TaAl(WO4)2 mvc-640
Ti(WO4)2 mvc-652
YAg(WO4)2 mvc-653
Fe(WO4)2 mvc-657
Sn(WO4)2 mvc-660
YSb(WO4)2 mvc-675
Mg(AgO2)2 mvc-6811
Zn(SnO2)2 mvc-6860
W3O8 mvc-788
YRe(WO4)2 mvc-853
BaCaB2O5 mp-1019542
EuZn(BO2)5 mp-1019730
Na2SrMg(PO4)2 mp-1020180
ZrSiO4 mp-1020588
V2OF8 mp-1101223
Mn3ReO6 mp-1105243
LiCoS2 mp-1176780
Si6C8N2Cl4O3 mp-1179609
Sb2Te2O9 mp-1179610
RbP(HO2)2 mp-1179721
Pr(ClO2)3 mp-1179898
Na2GeO10 mp-1180526
Na3AsH16(SO2)4 mp-1180715
KAu(Br2O)2 mp-1181025
K4MoC4(NO2)4 mp-1181187
K3Mo4CSNO16 mp-1181887
Ba(ClO)2 mp-1182380
CaMgB6O17 mp-1182424
K3NaMo5Se2O23 mp-1182625
K4U3(AsO8)2 mp-1194764
