LiSiBiO4 mp-757038
LiCrPO4 mp-757040
LiSiBiO4 mp-757349
LiFePO4 mp-757406
LiFePO4 mp-757465
LiSiBiO4 mp-757541
LiNiPO4 mp-757681
Li2FeSiO4 mp-757833
LiSiBiO4 mp-757874
LiSnPO4 mp-757945
LiFePO4 mp-758222
Li3SiBiO5 mp-758245
Li3CoSiO5 mp-758411
Li2CrSiO4 mp-758595
LiCoSiO4 mp-758703
LiCu2F7 mp-758841
Cr3P4O15 mp-759101
LiMnPO4F mp-759123
Li3CuF6 mp-759234
LiCoSiO4 mp-759261
Li3VF6 mp-759464
LiCu(HO)4 mp-759472
VOF3 mp-759725
LiTi2(PO4)3 mp-759793
Na2VPO6 mp-761051
Li2FeSiO4 mp-764340
Li2FeSiO4 mp-764346
LiNiPO4 mp-765054
LiNiPO4 mp-765149
Li3FePO5 mp-765579
LiFePO4 mp-765591
LiFePO4 mp-765638
LiNiPO4 mp-765644
Li3VSiO5 mp-766229
LiSiBiO4 mp-766350
Li8TiS6 mp-766575
Li2MnF5 mp-767572
Li2VF5 mp-767605
Sm2Cu2O5 mp-768866
Li2VBO4 mp-768869
Y2Hg2O5 mp-769289
Li2AlVO4 mp-770519
Li2AlVO4 mp-770522
VPO5 mp-770892
LiNiPO4 mp-772673
Ba2Cu2O5 mp-772788
AlGaO3 mp-772898
LiMn2PO5 mp-776397
NaV3P2O13 mp-776555
LiMn2F5 mp-777390
Li2FeF4 mp-777471
LiCrPO5 mp-777594
LiCoSiO4 mp-778061
Li2FeF4 mp-778700
Li2MnF5 mp-779165
Na2Ti2O5 mp-779729
MgGeN2 mp-7798
LiFePH2O5 mp-780423
LiCrP2H5O9 mp-780488
Li5V3F14 mp-780730
NaGeSbO5 mp-8341
LiCrPH2O5 mp-849467
Li4V2Si4O13 mp-850217
TbBS3 mp-867286
LiNiPO4 mp-867581
KGaPO4F mp-9332
BaCa(CoN2)2 mvc-14421
BaCa3(CuN2)2 mvc-14842
TiZnN2 mp-1016108
Li3AlSiO5 mp-1020023
Na4Mg3P4O15 mp-1020162
NaBe(BO2)3 mp-1020624
KSi5N7 mp-1029584
ZnCuAs mp-1100815
SbSBr mp-1103194
BaSrI4 mp-1178507
TeO3 mp-1179069
AlAgO2 mp-11794
LiBeNF4 mp-1180551
MnPCO4 mp-1181254
H4N2O3 mp-1181417
H4N2O3 mp-1181430
CuClO mp-1181633
CO2 mp-1182086
Be(NF2)2 mp-1182429
Fe2Te2SO13 mp-1182492
CdC7S3N4 mp-1182555
CoH15N6(ClO)2 mp-1182648
BaZnO5 mp-1182697
KHgI3 mp-1190406
KHgI3O mp-1191626
NaCdPO4 mp-1192772
CsAlSiO4 mp-1192933
LiSNO4 mp-1192948
Li3SbS3 mp-1194339
K5Mn3O6 mp-1194679
CaB3HO6 mp-1194867
W5I16 mp-1194880
BaAgSbS3O mp-1195220
Cd3BPO7 mp-1195436
KZnP(CO3)2 mp-1195963
BaAl2O6 mp-1196014
BaS2(NO3)2 mp-1196344
HXe2F15 mp-1197260
UH25C12NO8 mp-1197493
KNaNbOF5 mp-1198462
V6H36C12O19 mp-1198563
TeH18C9S6N3Cl mp-1198652
Rb2U(SeO6)2 mp-1199982
KAlCO6 mp-1200100
PrSiP3 mp-1200190
SnH8C2I3N mp-1200236
Rb2UC2SO11 mp-1200681
K2Hf2O5 mp-1201301
SiB2H50C21N2 mp-1201311
Sb2AsAuXeF14 mp-1201608
S2I2O11 mp-1202716
Rb3IO5 mp-1203699
Cu3P2NO6 mp-1204188
Rb4Te8O23 mp-1204243
Sr4Mn2Bi4O13 mp-1205023
ZnH6 mp-1207479
Ta4Se8SI8 mp-1208574
RbNaTi2(PO5)2 mp-1209409
Rb2EuF5 mp-1209763
K2TiGe(PO5)2 mp-1211716
H5ClO4 mp-1212635
Na3Y(CO4)3 mp-1212703
CsSbS(O2F)2 mp-1213195
H5CN6Cl mp-1213381
Cs3IO5 mp-1213723
TlGeSbO5 mp-1216957
SrSm2BeO5 mp-1218081
La2Ti2O7 mp-12192
Rb2Sn4Se9O mp-1220142
Nd3Si(Mo2O7)2 mp-1220991
Na3Al3Si3O14 mp-1221765
Li4GeS4 mp-1222582
La3Se4Cl mp-1223184
KH3(SeO3)2 mp-1223543
CeU2S5 mp-1227523
LaSiP3 mp-1232374
NaVPO4F mp-1238774
KVPO4F mp-1239185
Al5WN7 mp-1245348
LiSbN2 mp-1245532
CdGeN2 mp-1245535
VCuN2 mp-1245539
LiIrN2 mp-1245794
AlBiN2 mp-1245799
MnReN2 mp-1245861
VGaN2 mp-1246016
Mg3(GaN2)2 mp-1246046
MgCrN2 mp-1246133
NaSi5N7 mp-1246168
Li2NbV(PO5)2 mp-1246420
