As3Pb5ClO9 mp-649619
NaAlSiO4 mp-649722
Tb15(Ni4P3)7 mp-649833
NaZnAsO4 mp-6566
Ba(GaO2)2 mp-680226
KAlSiO4 mp-680374
Sr7SiB3NO13 mp-720338
NaY3SiS7 mp-7220
BaZnGeO4 mp-757722
LiSiBi3O7 mp-757777
LiCrPO4 mp-757829
LiNiPO4 mp-757942
NaNi4H9(CO5)3 mp-761175
KAlSiO4 mp-8355
Nd3MnAlS7 mp-864652
FeH4Br3N mp-865922
LiMgB3(H9N)2 mp-866665
Pr3SiAgS7 mp-867322
SmO3 mp-1025421
Sr3ReN3 mp-1029531
BaGaBO3F2 mp-10509
LiCaAl3 mp-1079781
Zr4Sn3 mp-1094226
Zr4Sn3 mp-1094315
Mg4Ti3 mp-1094481
Nb3VSe6 mp-1105840
La2(SO7)3 mp-1180833
Ga2(TeO3)3 mp-1181313
Nb3CoSe6 mp-1186227
Ta3VSe6 mp-1188354
Ta3VS6 mp-1190092
PrF3 mp-1190767
BaCl2O11 mp-1192931
BaBr2O11 mp-1193601
ZrGe3N2O9 mp-1194016
Cd2Ni6Te3PbO18 mp-1194532
Tb2SeOF2 mp-1195159
Al2Cu2Bi2S3Cl8 mp-1195160
Ho2SeOF2 mp-1195358
Sr5V3BrO12 mp-1195674
Cd3B4(PbO4)3 mp-1196945
Sn2Mo15S19 mp-1197201
La7(IO6)3 mp-1197276
Fe2B(PO4)3 mp-1197728
Nd(SeO4)3 mp-1198525
Rb3La(Cl3O)2 mp-1198575
SrNiRu5O11 mp-1198840
Ca5V3ClO12 mp-1202595
Cr3(NO5)2 mp-1204126
Ca2Fe6Se9Cl4O27 mp-1204736
CeO3 mp-1205900
Y(ClO4)3 mp-1207720
Ta3CoS6 mp-1208409
Nd3Cd2Si3O13 mp-1210000
P3Pb5BrO12 mp-1210057
Na4Sr(Ge2O5)3 mp-1210405
Pr7(BrO6)3 mp-1210531
Na6TeP6(H3O5)6 mp-1211028
TbGe3Rh5 mp-1211078
HoC3S3(O2F)9 mp-1212475
Ge3Pb5O12 mp-1212615
Eu3W(ClO2)3 mp-1213105
Ca5Si3O13 mp-1214077
Ca2Nd3Si3O13 mp-1214181
C2N2O mp-1214250
Ca2Gd3Si3O13 mp-1214310
Ba5P3O12F mp-1214497
Ba3Tb(BO2)9 mp-1214548
Ba3Tm(BO2)9 mp-1214609
As3Pb5O12F mp-1214667
Ba2Sm3Si3SeO12 mp-1214802
CaAl2O12 mp-1215043
CaAl2O12 mp-1215064
Ba5Ga6 mp-1228211
Sr3SbN3 mp-1245436
Sr3YN3 mp-1245518
Co(PbN)3 mp-1245608
V(PbN)3 mp-1245769
Ba3NbN3 mp-1245926
Sr3VN3 mp-1246302
Ga(PbN)3 mp-1246316
Ca3CuN3 mp-1246500
Ba3CuN3 mp-1246600
Ba3AlN3 mp-1246710
Sr3CoN3 mp-1246731
Sr3BiN3 mp-1246737
Ba3TaN3 mp-1247074
Ca3RhN3 mp-1247259
Ca3ScN3 mp-1247344
SmSi3Pt5 mp-15442
Nb3VS6 mp-15958
Rb2Ti(SiO3)3 mp-17037
Rb2Si3SnO9 mp-17382
Ge3Sb2O9 mp-17708
Sr5As3O12F mp-17777
K2Si3SnO9 mp-18243
HoSi3Rh5 mp-21793
Ba5V3ClO12 mp-23094
Sr5P3BrO12 mp-23141
NpBr3 mp-23166
PrCl3 mp-23211
BBr3 mp-23225
LaBr3 mp-23263
Cd5P3ClO12 mp-23643
KNa22C2S9ClO42 mp-23660
Al2P3(HO3)3 mp-23995
Ho(HO)3 mp-24075
Y(HO)3 mp-24076
Sc2P3(HO3)3 mp-24217
Ga2P3(HO3)3 mp-24563
Sn5W8O23 mp-27357
K3W2Cl9 mp-27506
AcBr3 mp-27972
Ba(BiS2)2 mp-28057
Ta7Cu3O19 mp-28752
Gd3(MnC3)2 mp-28826
Sn4B3Ir7 mp-28999
Ge3Bi2O9 mp-29218
