Ba2Tl(NO2)5 mp-642318
La4Mo7O27 mp-647867
NbClF8 mp-649253
Pd(XeF8)2 mp-649616
AgAsS6N4(OF3)2 mp-649756
K2Mn2(MoO4)3 mp-651434
NaLiGe4O9 mp-6663
SiO2 mp-667371
KLaCO4 mp-669435
K3Sc(MoO4)3 mp-672176
NdVSb3 mp-673854
UP2O7 mp-677370
Ge4Se9 mp-680333
Cd7Te7Cl8O17 mp-683967
LaTlGeSe4 mp-684022
KGeNO mp-6955
Sb4H2SO10 mp-698480
LiH2SNO3 mp-699450
CsGaP3HO10 mp-703308
LiZnPH2O5 mp-703550
Fe3O4 mp-705416
KH(IO3)2 mp-706273
HClO4 mp-706301
U2H14S2O19 mp-706594
LiBeH4NF4 mp-706611
Na2H2CO4 mp-721312
Na3B5(HO5)2 mp-722369
UP3H10ClO8 mp-730972
CsNa2(H5O3)3 mp-733457
K2HI2ClO6 mp-733853
H9C2N7O6 mp-734137
UP3H10BrO8 mp-740732
Mn2Si(H2O3)2 mp-743571
VH4NO3 mp-743581
VPH5NO6 mp-743872
ZrH8(NF3)2 mp-744840
RbFeH4Cl3O2 mp-745034
VOF3 mp-752824
KI(OF)2 mp-753054
LiV(OF)2 mp-753430
LiV(OF)2 mp-756551
LiFePO4 mp-757097
LiSiBiO4 mp-757383
Li2CrSiO4 mp-757502
LiCoSiO4 mp-757822
LiNiPO4 mp-758148
Li2FeSiO4 mp-758421
Li2CrSiO4 mp-758490
LiP3(WO6)2 mp-758634
LiCoSiO4 mp-758767
LiMnOF2 mp-759641
Zn2Hg2H2Se2O11 mp-759925
WOF4 mp-761107
LiFePO4 mp-765594
LiMn2OF5 mp-767727
SrLaCl5 mp-768604
Y(BO2)3 mp-768887
Li3V(PO4)2 mp-772643
Na2Ge2O5 mp-772842
LiTi2(PO4)3 mp-773017
LiSn2(PO4)3 mp-773129
Na2Ti2O5 mp-773663
ZnH12C3S4(N3O2)2 mp-774708
LiFeF5 mp-775765
LiNbO3 mp-776108
Mg(NO3)2 mp-776410
Zn(NO3)2 mp-778973
LiFePH2O5 mp-780206
LiFePH2O5 mp-780431
LiCrPH2O5 mp-780670
LiMnP3HO10 mp-849312
CoPO4 mp-867693
Ce3(SiRh)2 mp-978253
Zn(BiO2)2 mvc-6345
Ca(BiO2)2 mvc-6520
Cr3N2 mp-1014444
Ca8Si5O18 mp-1019570
Ca7SiN6 mp-1029474
Sr5NbN5 mp-10577
W mp-1065340
KAs mp-1078831
KReN2 mp-1080849
MgTi mp-1094342
MgTi mp-1094417
ZrSn mp-1094528
SiO2 mp-10948
CrN2 mp-1096917
H6CNCl mp-1096989
H6CNF mp-1096996
VNO3 mp-1178820
Na2O2 mp-1180226
Na4XeO14 mp-1181112
DyVSb3 mp-1181506
CaZn2(PO5)2 mp-1181992
Fe3O4 mp-1192788
BaTeS3O2 mp-1193611
Sm3(GeRu)2 mp-1194691
KAsO3 mp-1194970
B3Pb6O10F mp-1195003
WI4 mp-1195045
B3Pb6BrO10 mp-1195239
Ca2Co2O5 mp-1195269
Na3MnS2(O4F)2 mp-1195590
Co2TeSO8 mp-1195741
ScC6(O2F3)3 mp-1195783
Mn2TeSO8 mp-1195819
Cs2PAuS4 mp-1196015
PrAs2Au mp-1196164
BNF8 mp-1196191
UBi4(AsO8)2 mp-1196655
Ca2Al2Sn2O9 mp-1196891
AlTeH6C2Cl3 mp-1196941
Rb3P11 mp-1197062
EuV2IO9 mp-1197271
Ag6Sn3(S5N)2 mp-1197642
PrV2IO9 mp-1198275
Fe2P12W mp-1199047
Mg3(SO6)2 mp-1199206
TbFeSb3 mp-1199267
LiTiNF6 mp-1200267
KTa3(TeO6)2 mp-1200554
H14C5SN3ClO2 mp-1200704
RbZrN3O11 mp-1200966
BPb3O4F mp-1201056
Pb(SeO3)2 mp-1201603
Sn3SbF9 mp-1201723
Pr4As2S9 mp-1201868
Yb3(SnPd)2 mp-1202245
ThV2SeO9 mp-1202658
K2AlSO4F3 mp-1203080
MgH8(ClO2)2 mp-1203165
Sm2Ge(BO4)2 mp-1203325
La4Fe(SbS5)2 mp-1203562
Na4XeO14 mp-1203687
BeH12C4(SBr)2 mp-1204117
Tb2Ge(BO4)2 mp-1204495
Cd(NO3)2 mp-1204701
CaCrO6 mp-1204789
Re2S2O13 mp-1205130
Na2TiSi4H2O13 mp-1205145
AlB3(H5N)6 mp-1205240
TlCSN mp-1208088
Tm2(SO4)3 mp-1208214
Sr2VBrO4 mp-1208766
Tb2(SO4)3 mp-1208801
SmVSb3 mp-1208885
Sm3(SiRu)2 mp-1208957
Sm3(GeRh)2 mp-1208959
Sm3(SiPd)2 mp-1208966
Sn17Os4 mp-1209264
NdSO mp-1209906
Nd3(GeRh)2 mp-1210029
PrFeSb3 mp-1210142
PC18F17 mp-1210382
KLu(MoO4)2 mp-1211734
KLaTiO4 mp-1211901
K2TeMo2(PO7)2 mp-1211929
K2Hg3S4 mp-1211986
Er3(GeRh)2 mp-1212969
Cu4AsClO6 mp-1213317
Na4W8XeO6 mp-1238551
AlAgO2 mp-1239228
Sr7SN6 mp-1245374
Ca7OsN6 mp-1245383
Sr7TiN6 mp-1245386
Sr7CN6 mp-1245482
Sr7ZrN6 mp-1245667
Ca7RuN6 mp-1245935
Ba7SnN6 mp-1246481
SiPb7N6 mp-1246561
Li2CuN mp-1246596
Sr7SnN6 mp-1246791
Zn7SnN6 mp-1246829
Ca7SN6 mp-1246839
Sr7SeN6 mp-1246854
Sr7CrN6 mp-1247406
SrLaCoO4 mp-1273504
TlMo2(PO4)3 mp-14498
RbMo2(PO4)3 mp-14530
Li2Mg2(SO4)3 mp-14646
LuAu2F9 mp-14802
CsTlF4 mp-1541564
TmAl mp-16721
Gd2SiTeO4 mp-16788
BaTiOF4 mp-16915
Na2Si2O5 mp-16970
Rh2O3 mp-1716
Ho2SiSO4 mp-17366
Tb2SiSeO4 mp-17913
MgNb2O6 mp-17953
