H7NO6 mp-625861
H5NO mp-625924
H7NO6 mp-626066
H5ClO6 mp-626219
Mn2C7S2O7 mp-630859
RbVSO6 mp-642398
H3N mp-643432
Ru7C20(SO10)2 mp-650996
KLiB4O7 mp-6648
AgNO3 mp-669466
K2S5 mp-672372
K2Cd2(SO4)3 mp-6724
LiCu(PO3)4 mp-672984
Tl3PbCl5 mp-674359
Mg2SiO4 mp-675215
Ce4Si4N7ClO3 mp-677082
RbLiB4O7 mp-6787
LiSn(PO3)3 mp-684503
LiSn(PO3)3 mp-684509
Ce4Si4N7ClO3 mp-686294
Y2BeAlBO7 mp-686689
ThCr(IO5)2 mp-686949
BaH2(CO2)2 mp-690851
HSeNO4 mp-696797
BaCu2P2H2O9 mp-697156
H6S(NO2)2 mp-697666
NdH4C3O8 mp-698317
Ba3Li2Mo4P6(ClO14)2 mp-699932
Na3AsH24SeO15 mp-707391
NaH8SeNO6 mp-707532
TeH12(Cl2O3)2 mp-707765
Na2Sn2H4O5 mp-707767
KAs mp-713
RbH3(SeO3)2 mp-720572
H16RhN5(ClO4)2 mp-721049
K2B4H8O11 mp-721901
CeP2(HO4)2 mp-722790
BeH4NF3 mp-723049
BaSiO3 mp-7339
BH10C2N5O3 mp-734069
NaP mp-7440
NiH18C4S6(N2O)4 mp-744395
KVH2SO7 mp-744600
VH12N3O5F2 mp-744736
SnF2 mp-7456
Lu2TeO6 mp-752526
VOF3 mp-753030
LiSnPO4 mp-753939
Li5SbS mp-754496
INO3 mp-754661
BaYF5 mp-755751
PH6NO4 mp-757388
LiNiPO4 mp-757970
LiSn(PO3)3 mp-758086
LiFe(PO3)3 mp-758184
LiCoSiO4 mp-758607
LiFe(PO3)3 mp-758723
GeF2 mp-7595
Li5TiV3O8 mp-759911
NbO2F mp-766094
Cu(PO3)3 mp-766254
Li2Si4NiO10 mp-766687
V(PO3)3 mp-767740
In2WO6 mp-768725
Ho2TeO6 mp-768762
SbSO4F3 mp-769377
Sm2WO6 mp-770406
Mg(IO3)2 mp-770718
Eu3NbO7 mp-770993
SrCa2I6 mp-771568
Tm2WO6 mp-773512
La2WO6 mp-774193
Er2TeO6 mp-774557
Nb2O5 mp-776896
La2WO6 mp-778484
Na3CuO2 mp-778612
Ni(IO3)2 mp-779904
Tm2TeO6 mp-780172
TeO2 mp-8377
LiNi(PO3)3 mp-863419
LiNi(PO3)3 mp-867572
LiNi(PO3)3 mp-867585
KF3 mp-867934
Ag2GeO3 mp-983589
BiAsO5 mvc-5296
TaAsO5 mvc-5357
MgAgAsO5 mvc-5377
CaAgAsO5 mvc-5380
ZnCuAsO5 mvc-5541
MgVAsO5 mvc-5670
MgMnAsO5 mvc-5747
VZnAsO5 mvc-5769
ZnSb2P2O9 mvc-9807
MnHO2 mp-1016111
Cs2Ba3(P2O7)2 mp-1019605
BaNaEu(SiO3)3 mp-1019735
KSi2BO6 mp-1019889
LaSi3N5 mp-1019967
Na5B(SO4)4 mp-1020599
Rb2MgSi5O12 mp-1020860
BaGeN2 mp-1029743
Ag2S mp-1095694
CrN2 mp-1096957
Li2Cr2(SO4)3 mp-1178063
Zn2SO6 mp-1178698
SeO3 mp-1179125
Sr(CO2)2 mp-1179359
Rb2UO3F4 mp-1179952
NiSO11 mp-1180062
Na3Si2PO8 mp-1180369
LiVTeO5 mp-1180450
CO mp-1181994
KHSO4 mp-1182578
Na3AsSO15 mp-1182770
YAgSe2 mp-1188559
NaAs mp-1188662
TmCuS2 mp-1189200
NaGaCl4 mp-1190761
KZnCl3O mp-1191891
ErCO4 mp-1192227
CsEuSiS4 mp-1192887
Ba(CO2)2 mp-1193053
Cs2S5 mp-1193140
Cs2HgCl4 mp-1193711
KZnBr3O2 mp-1193881
CsTbSiS4 mp-1194142
Sr(CO2)2 mp-1194216
CsTmSiS4 mp-1194326
RbNa2B6ClO10 mp-1194580
Cs2CdGe3S8 mp-1194601
Ag3B5O9 mp-1194638
Na2Ca(CO3)2 mp-1194807
K2Si3SnO10 mp-1195099
RbH3CN2O mp-1195275
CsSb(SO4)2 mp-1195448
Cs2MgGe3Se8 mp-1195667
BaFePHO5 mp-1195793
Ba2Fe3(P2O9)2 mp-1196377
VS2NO9 mp-1196448
B5H4NO8 mp-1196660
AlP2H16C2N3O8 mp-1197634
KCaCoC6(S3O5)2 mp-1197796
K2Al2Si2O9 mp-1198051
Na2BeSi4(H4O7)2 mp-1198346
Na2Al3P3(HO7)2 mp-1198443
Ca(AlH4)2 mp-1198688
CdSi3AsH27C9I2 mp-1198755
Eu6Sb6S17 mp-1198785
Al2Si2H8N2O9 mp-1199231
ErC3O8 mp-1199532
CoS2N5O9 mp-1199610
MgB4(H10N)2 mp-1199691
ErC3O8 mp-1199851
Pt(N2O3)2 mp-1199962
HgS2(NO3)2 mp-1200310
H2C(NO)2 mp-1200465
Ba2H8PtO8 mp-1200998
BaV2O7 mp-1201280
BaSi(S2O7)3 mp-1201400
Na3Y(SiO3)3 mp-1203085
CeSO6 mp-1203647
SF4 mp-1203812
Gd3MoO7 mp-1204194
NdP2(HO4)2 mp-1204204
RbLiMoO5 mp-1204616
SiH8(CI)4 mp-1205230
YGeBiO5 mp-1207680
ZnSO11 mp-1208071
Sr3Ga2Cl2O5 mp-1208802
Sm(SeO4)2 mp-1208985
Pr2TeO6 mp-1209377
RbNbGeO5 mp-1210256
KBeF3 mp-1211678
KO4F mp-1211882
Cd(ClO2)2 mp-1214349
SmThUS5 mp-1219058
Li4GeS4 mp-1222529
HgBrCl mp-1224070
CaAs3F15 mp-1227150
AgMoAsO6 mp-1229143
MnGaN2 mp-1245398
Ru(CN)2 mp-1245675
YGaN2 mp-1246253
AlInN2 mp-1246285
B3C3N7 mp-1246452
Bi3C3N7 mp-1246589
LiSbN2 mp-1246846
NaCaGaSi2O7 mp-1262161
MgSi2WO6 mp-1263230
HoAgSe2 mp-12955
SbAsO5 mp-14368
KNaLi2(SO4)2 mp-14484
KV3P4O17 mp-14929
TaAgP4O13 mp-15750
LiMnSiO4 mp-1662331
LiNiPO4 mp-1665555
Rb2S5 mp-16911
BaLaAlO4 mp-16934
CsCuSe4 mp-17095
La2TeO6 mp-17350
Er2WO6 mp-17426
Cu3SbS3 mp-17691
Nd2WO6 mp-18057
RbCuSe4 mp-18365
RbAgSe4 mp-18585
BCl mp-23256
Tl3PbI5 mp-23380
H2SeO4 mp-23866
H6CN3ClO mp-23909
CaMnSiHO5 mp-24017
PHF2 mp-24064
MgH14SO11 mp-24396
V(PO3)3 mp-26226
H5N2F mp-27235
SbBr3 mp-27399
Rb2SnO2 mp-27931
SCl2 mp-28128
Se2NCl3 mp-28791
SeF4 mp-29172
Tl3PdCl5 mp-29460
Ba3(BN2)2 mp-30905
Nd2TeO6 mp-31318
BaAlF5 mp-4376
NaH9O5 mp-505077
Li2Cr(H2O3)2 mp-505245
Pb2CO4 mp-505702
ZnAsHPbO5 mp-510279
Cu(PO3)3 mp-540496
NaH8SNO6 mp-540714
AlH15(NF)6 mp-541900
SiO2 mp-542814
Ba4Al3Cu2F21 mp-553943
La2WO6 mp-554597
KVS2O9 mp-555364
SbS7IF6 mp-555408
Te2S(O2F3)2 mp-555457
MgAs2(XeF5)4 mp-555546
BiSeClO3 mp-556378
SrH2(CO2)2 mp-556478
AsS(ClF2)3 mp-556705
Tl2Cd2(SO4)3 mp-556819
Na2EuC(OF)3 mp-556836
SiO2 mp-556961
Na3VB6O13 mp-557235
Ga2Pb2S5 mp-557672
PSN(Cl2O)2 mp-557775
RbNbSiO5 mp-557778
ZrMn2Ag4(MoO4)6 mp-558201
Ba2V4Cd3O15 mp-558221
B2Se2O7 mp-558521
Ag2Hg(SeO3)2 mp-558763
KThP3O10 mp-559645
Tl2SeO4 mp-559961
SrTlVO4 mp-560156
K2ZrS4 mp-560331
SbS(BrF2)3 mp-560639
RbSb2C2O4F5 mp-560900
K2RuNCl5O mp-560966
AlPO4 mp-561027
SbSe(BrF2)3 mp-561328
LaBC mp-568090
PrBC mp-570767
KY(PSe3)2 mp-571057
SeS4N3Cl5 mp-572707
CsSb mp-573514
CaAlH5 mp-583071
CuH12C5S4N mp-600172
BaH2(CO2)2 mp-601226
PH9AuC3S3Cl mp-603254
PH6NO4 mp-604120
NiH18C4S6(N2O)4 mp-604327
RbH5C7SO5 mp-604583
HgH24C8(I2N)2 mp-605659
Cu3BiS3 mp-607291
N2O3 mp-616407
Rb2Se5 mp-620372
Rb2FeC5N6O mp-622613
Be(HO)2 mp-625823
H5NO mp-625927
H7NO6 mp-626046
H7NO6 mp-626093
H5ClO6 mp-626201
LiVTeO5 mp-631247
CaAlH5 mp-632787
RbPPbS4 mp-638009
AgNO3 mp-638686
HOF mp-642810
HSO3F mp-643794
Os6C17S2O17 mp-648264
Ru6C17S2O17 mp-650984
Na3Si2PO8 mp-657378
NaMgPO4 mp-6699
Nd4Si4N7ClO3 mp-677703
TiSi4(NCl7)2 mp-679971
TlB5O8 mp-680122
AlPO4 mp-683883
K2H2RuO5 mp-696941
Be(HO)2 mp-697136
PHN2 mp-697139
VH16C4(NO4)3 mp-698262
MoH12N3O5F3 mp-698406
NaCaGaSi2O7 mp-698690
Pr4Si4N7ClO3 mp-699390
CaB12(H3O2)4 mp-699475
H2CN2 mp-703527
BaH2(SO4)2 mp-703568
Sm3MoO7 mp-705801
InH7N2OF4 mp-706283
CuH4C3ClO2 mp-707169
Na4P4H2O13 mp-707200
H8Se2N2O5 mp-707226
AsH6NO4 mp-707339
InP(H2O3)2 mp-707473
K2ZrSi3(HO5)2 mp-720643
H6S(NO2)2 mp-721268
PH5(NO2)2 mp-721442
Na3SiH5O6 mp-721564
CuH4C2S2N2Cl mp-721604
H8Se2N2O5 mp-722865
CoH22S2N5O9 mp-735625
ZrH27C8N2Cl5O2 mp-738680
KP mp-7441
V2PH10C2N2O8F mp-744631
CoH9(NO)6 mp-745118
LiVF4 mp-756016
LiSnPO4 mp-757042
LiSn(PO3)3 mp-757838
LiSn(PO3)3 mp-757889
CsSi3HO7 mp-758180
RbLiVPO5 mp-758914
V2PH10NO11 mp-759514
Li2VF5 mp-759539
Rb2LiV(PO4)2 mp-759578
LiAgF2 mp-759658
Li3VOF6 mp-759965
H9PbC3I mp-760193
NbOF3 mp-760762
NaFe(PO3)3 mp-764111
Li2Ni2(SO4)3 mp-764857
LiFePO4 mp-765590
VF5 mp-765621
P4WO13 mp-766131
Cu2H3NO6 mp-766274
BaY4Cl14 mp-769070
Li2SbSO4F3 mp-769153
K5YO4 mp-769176
AgH3O2 mp-769355
Dy2WO6 mp-770570
Ca2CeO4 mp-770977
Tb2WO6 mp-771033
In2WO6 mp-772264
CsH5S2(NO3)2 mp-773494
Mn2P2H7NO10 mp-774928
Li2Mn3CuO8 mp-775165
Li2MnV3O8 mp-775492
Y2O3 mp-775906
Li2MnF5 mp-776841
Cs3NO4 mp-778950
Ba4Br6O mp-779551
CuBiPtS3 mp-865018
Ca2SnS4 mp-866883
Y4(Cu2O5)3 mvc-12191
Y(CuS2)3 mvc-14516
WO3 mvc-15643
ZnSbAsO5 mvc-16283
ZnBiAsO5 mvc-16293
SbAsO5 mvc-5268
MgCuAsO5 mvc-5282
ZnAgAsO5 mvc-5455
CaMnAsO5 mvc-5587
Si2MoO6 mvc-7046
MgCoBiO5 mvc-7834
ZnNiP2WO9 mvc-9076
V2NiO6 mp-1012103
Ba4GaN3O mp-1019516
Zn2SiO4 mp-1020610
Zn2SiO4 mp-1020636
Sr2Ga2O5 mp-1020723
NaNbN2 mp-1030657
CoPSe mp-10368
Rb2MgSi5O12 mp-1080284
CeSe2 mp-1080301
CeSe2 mp-1080853
PAuS mp-1094079
Sr5W3O14 mp-1101400
Sn2(SO4)3 mp-1101728
MgSi2NiO6 mp-1171109
Li4FeS3 mp-1177404
Li2Fe2(SO4)3 mp-1178011
UO4 mp-1178859
Sn7(SO10)2 mp-1179547
Sb4S7N2 mp-1179822
Rb3VO8 mp-1180695
H5NO mp-1181559
CoBrO mp-1181976
Ca2SiO5 mp-1182212
Ca2SiO5 mp-1182405
LaN3O13 mp-1182768
TiO2 mp-1190753
In2O3 mp-1194571
NaIn(TeO3)2 mp-1194878
Rb2Si5NiO12 mp-1195212
ZrH32C10IN5 mp-1195791
Pr3Si2BO10 mp-1196034
LiBH5N mp-1196392
Eu3Si2BO10 mp-1196416
CsCu2AsS3 mp-1196438
ThV2TeO12 mp-1196774
MgFe(SiO3)2 mp-1196844
H7C2SNO mp-1197067
CaMgB2O5 mp-1197459
H2SO5 mp-1197484
KB5O8 mp-1197506
RbBeN3 mp-1197886
KH3CO6 mp-1198088
Na2H14CO10 mp-1198167
NaSbClOF3 mp-1198269
CrB6P2(H17C3)2 mp-1198848
Sb2PH3(CF5)4 mp-1198885
SnH6C(NCl)3 mp-1199443
SbSN2O4F3 mp-1199815
NaAgI2O3 mp-1200038
UCO6 mp-1200108
BP4(HO2)3 mp-1200474
ZrHg4(PCl3)2 mp-1200713
U(SO4)2 mp-1200785
InH10C2SeCl3O2 mp-1201000
RbVPHO6 mp-1201601
Cs4Os2Cl10O mp-1202549
Pd(NO4)2 mp-1203258
LiBP2Pb4O11 mp-1203380
Cu3PO7 mp-1203515
Na4XeO12 mp-1203745
Sr(SO4)2 mp-1204056
InH12C4Se2Cl3 mp-1204093
HfH14C4NOF5 mp-1204663
Tc2Te5 mp-1204799
Th(WO4)2 mp-1208466
Pu(MoO4)2 mp-1210278
Na2Mo(HO2)2 mp-1210611
LaSI mp-1211464
CsGaO2 mp-1213401
H6C8I3NO5 mp-1213638
C12BrF9 mp-1214425
BaCa2WN4 mp-1214597
CaB2F8 mp-12146
Cs2ZnSi5O12 mp-1214991
AlAsO6 mp-1215024
LaSiP3 mp-1232371
InAs(H2O3)2 mp-1238070
TaBiO5 mp-1244740
Si5(NiN4)2 mp-1245337
YMnN2 mp-1245344
KIrN2 mp-1245370
AlBiN2 mp-1245430
CaCrN2 mp-1245472
NiGeN2 mp-1245501
LiReN2 mp-1245517
CdGeN2 mp-1245521
CdSiN2 mp-1245559
YAlN2 mp-1245678
SiSnN2 mp-1246131
Zn2Ge5N8 mp-1246272
NaReN2 mp-1246646
KSbN2 mp-1246680
NaIrN2 mp-1246706
Sn(CN)2 mp-1246850
Si5(PbN4)2 mp-1246988
MnAlN2 mp-1247192
RbSbN2 mp-1247223
LiIrN2 mp-1247356
Zn2Si5N8 mp-1247426
MgSi2SnO6 mp-1257390
ZnCr(SiO3)2 mp-1262453
MgTi(SiO3)2 mp-1262565
CaSi2NiO6 mp-1262776
ZnSi2SnO6 mp-1263520
ZnSi2WO6 mp-1265498
CaTi(SiO3)2 mp-1266674
PdS2 mp-13682
KNa4GaO4 mp-14428
CsK4GaO4 mp-14429
Sr2Ga2S5 mp-14680
Ba3WN4 mp-14743
TbCu(MoO4)2 mp-14948
K4SnO3 mp-14988
Ca4Ti3O10 mp-15315
Na2Sn2Se5 mp-16167
HgB4O7 mp-16585
ZnTeO3 mp-16819
Na2UO4 mp-17560
TiO2 mp-1840
Na5CoO4 mp-21792
Rb4PbO3 mp-21801
Ce(SeO4)2 mp-21838
K4PbO3 mp-21949
Ba2In2S5 mp-22841
CCl3F mp-23071
KSbClF3 mp-23634
TeSeS(NCl)2 mp-23650
LiB(HO)4 mp-23662
KH3(CO2)2 mp-23682
RbH3(CO2)2 mp-23688
MgP(HO)7 mp-23734
KHSO4 mp-23800
BaAsHO4 mp-23810
AgH2ClO5 mp-24053
AgBH2OF4 mp-24058
CaCrH2O5 mp-24125
BH3NF3 mp-24160
PdSe2 mp-2418
NaH3O2 mp-24193
KBe(H2N)3 mp-24355
CsReBr4 mp-27783
CsAsSe2 mp-28563
Na2HgS2 mp-28858
GaP2I9 mp-29817
MgGeO3 mp-4575
Cs2Te2O5 mp-504924
CoAsSe mp-505511
U(HO2)2 mp-510128
SrAsH3O5 mp-510709
NiH4(IO4)2 mp-540624
GaP(H2O3)2 mp-541857
PH7CN2O5 mp-542041
CsPH3O4F mp-542541
AlAs(H2O3)2 mp-542678
CuCSN mp-553972
NaGa(TeO3)2 mp-554193
KUI3O11 mp-554888
Sr4GaN3O mp-555721
MgH6(CO3)2 mp-556127
NaAsO2 mp-556145
HIO3 mp-556216
Er2WO6 mp-556249
AsS2NF10 mp-556406
MgSiO3 mp-556940
Nd4Ga2S5O4 mp-558333
MgFe(SiO3)2 mp-558339
K4LiIO6 mp-558483
Ba2Mn2Si2O9 mp-558695
CaTeCO5 mp-559128
Rb2HfS4 mp-559228
Se2S(NCl)2 mp-559231
TiPCl7O mp-559493
Rb2Na2SiO4 mp-559711
Hg3(NO4)2 mp-559722
Li2Ni(SO4)2 mp-560212
P3S3N6F5 mp-560409
SnO2 mp-560417
CaVBiO5 mp-560755
BaNbTePO8 mp-560794
Sb2IBr2F11 mp-560928
NbTlCl4O mp-561523
SbOF mp-561533
SrCa2WN4 mp-567568
MgH2 mp-568441
Bi2Pt mp-568531
RbTaN2 mp-568557
RbNa11(WN3)4 mp-569098
Ca(BH4)2 mp-570194
CdN6 mp-570471
Al2AgCl5O mp-572634
SbH6C2I mp-582587
Re2Te5 mp-583070
GePb5O7 mp-583345
MgSiO3 mp-5834
PH9C2NO3F mp-600215
H3SNO3 mp-603327
Na2Mo(H2O3)2 mp-603572
H24RuC8(S2Cl)2 mp-605665
Hg2H12C4I5N mp-605752
C2SN2 mp-616463
U(HO2)2 mp-625087
K2Mo4O13 mp-637680
MgSiO3 mp-642228
AgN3O4 mp-644729
CSe(ClF)3 mp-647549
Tl2Mo4O13 mp-648007
LaSiAs3 mp-648984
AgC3N3O mp-650510
MgSiO3 mp-657338
P2CN3Cl5 mp-662643
PtI4 mp-669496
KGaO2 mp-679975
Cs4Ru2Cl10O mp-679984
KAgC2(SN)2 mp-680197
Rb3As7 mp-680413
Na3Mg(BO2)5 mp-683990
Na2PH5O6 mp-698223
RbAs2H5O8 mp-699453
K4MoC5N6O mp-705070
Al2P2H4O11 mp-706302
NaB2HO4 mp-706489
H6CN3Cl mp-707023
PH6SN3 mp-707324
Na3SiH11O9 mp-707571
Na3B5H4O11 mp-720296
H4SeO5 mp-720376
K2TeH6(O3F)2 mp-720815
Na2PH5O6 mp-720853
H3SNO3 mp-721279
Sr3CrN4 mp-7214
CdH3NO5 mp-722862
CdHSeNO6 mp-723054
SrPHO4 mp-735022
Na3GeH11O9 mp-740722
LiCrPO4 mp-756982
LiFePO4 mp-757227
H3SNO3 mp-757595
LiNiPO4 mp-757820
Sn(SO4)2 mp-759223
AlH3NCl3 mp-759356
BiOF mp-759870
SbOF mp-760092
BiOF mp-760162
KLiH2WO5 mp-760342
Li2Co2(SO4)3 mp-765354
Ti(SiO3)2 mp-766596
Li5BO4 mp-768967
Li3NbS4 mp-769038
Li5BiO4 mp-769040
K5YO4 mp-769262
Dy2WO6 mp-770416
La3Si2BO10 mp-773117
Na5VO4 mp-774376
Li5GaO4 mp-774753
Na5VO4 mp-774963
LiMnSiO4 mp-775156
Li5SbS4 mp-776253
Li5SbS4 mp-776268
SrLi4NiO4 mp-776394
Al2O3 mp-776490
Rb2O mp-776890
Li2Sn2(SO4)3 mp-777931
Ce(WO4)2 mp-778015
Ca5W3O14 mp-778380
Na5CuO4 mp-779650
Na5CuO4 mp-780220
NaCu3O2 mp-780403
Ti(SO4)2 mp-780570
Tm2WO6 mp-780869
NaMgP3(H4O5)2 mp-849748
Li4CrP2O9 mp-849763
Ni(SO4)2 mp-849993
NaSbO2 mp-850814
Li2V2(SO4)3 mp-850938
Cu2(SO4)3 mp-851127
BaAl2O6 mp-867936
Mg(B2O5)3 mp-868019
VBiO5 mvc-10959
Si2WO6 mvc-7131
MgBiSbO5 mvc-7403
MgCuBiO5 mvc-7427
CaAgBiO5 mvc-7497
ZnCuBiO5 mvc-7505
Bi2O5 mvc-7514
MgVBiO5 mvc-7825
ZnCoBiO5 mvc-7920
Na2ZnS2 mp-1024076
RbNbN2 mp-1029493
SrGeN2 mp-1029497
KNbN2 mp-1029504
Na2GeN2 mp-1029851
CsNbN2 mp-1030663
CeSe2 mp-1098708
Ca4Sn3S10 mp-1100361
YGaPt mp-1103353
ZnFe(SiO3)2 mp-1157737
Mn2O3 mp-1172875
Fe2O3 mp-1178392
NaAgI2O3 mp-1180419
Na4XeO12 mp-1180587
CuB5 mp-1181765
CsVSO6 mp-1181965
YbBr2 mp-1190190
CoSbS mp-1191202
BaGe4(RhS3)2 mp-1194551
YB3(H9N)2 mp-1194951
RbAg5(PS4)2 mp-1195102
GeBiNO7 mp-1195356
Th(Se2O5)2 mp-1195373
GaAs(H2O3)2 mp-1195440
NiH32C4S2(NO8)2 mp-1195490
GaAs(H2O3)2 mp-1195891
Cs2CdP2O7 mp-1195999
Li2P3NO9 mp-1196743
ThP2(HO4)2 mp-1197197
YBCO7 mp-1197370
UP2H2CO7 mp-1197788
GaH8N2OF5 mp-1197790
LiBrO3 mp-1197831
V2Ag4O7 mp-1197838
Li2H32Pt(C6O)2 mp-1198280
Na4XeO12 mp-1198484
InSeClO3 mp-1198762
MgBi4(PO6)2 mp-1199340
Ba(GaO3)2 mp-1199346
Si2H2O3 mp-1199781
BeH24C8S4(ClO2)2 mp-1199791
Cr4Xe5F44 mp-1199834
NaFePH2(CO3)2 mp-1200387
Bi2B3HO8 mp-1200581
SN2O3 mp-1201844
LaTaO4 mp-1202027
FeC3NCl3O2 mp-1202060
